mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17727313041687012,0.015844827406332772,0.011284494400024414,0.00458812442447231,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9765460030165911,0.007882197665432201,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.25611090660095215,0.02746947211875278,0.015466928482055664,0.007670534420729182,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5676651000976562,0.04702636300575025,0.02256927490234375,0.006035219486366031,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1339540958404541,0.011530965521823235,0.008527994155883789,0.0031373346655065564,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9607843137254902,0.9803921568627451,0.9726244343891401,0.009668398498061713,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.2870452880859375,0.02178451923980753,0.012695646286010743,0.002701168426569567,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5148388862609863,0.02577688473628203,0.019617414474487303,0.006217948744262883,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1477405071258545,0.01397491640240001,0.009003591537475587,0.004651788750698176,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9687028657616892,0.015743456513617384,25,0.9950980392156863,1.0,0.9902439024390244,0.9951219512195122,0.9951219512195122,0.995117168818747,0.003085163763458231
0.20989613533020018,0.0037288442395168046,0.011417865753173828,0.003035945128955857,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.37548179626464845,0.029057545916596515,0.021202611923217773,0.008136467732616986,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,1.0,1.0,0.9902439024390244,0.9980487804878049,0.0039024390243902474
0.09593033790588379,0.007955810351277308,0.00628194808959961,0.001709278585077063,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9765460030165911,0.007882197665432201,1,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
